Feature,Coefficient,Abs_Coefficient
tenure,-1.1235946365737328,1.1235946365737328
Contract_Two year,-0.7812551922489414,0.7812551922489414
InternetService_Fiber optic,0.7053365905492436,0.7053365905492436
MonthlyCharges,-0.6635828197883467,0.6635828197883467
Contract_Month-to-month,0.6633989309103192,0.6633989309103192
InternetService_DSL,-0.6210094492704644,0.6210094492704644
TotalCharges,0.4572177837002881,0.4572177837002881
StreamingMovies_Yes,0.27497805729341196,0.27497805729341196
DeviceProtection_No internet service,-0.27456854572744077,0.27456854572744077
InternetService_No,-0.27456854572744077,0.27456854572744077
OnlineSecurity_No internet service,-0.27456854572744077,0.27456854572744077
TechSupport_No internet service,-0.27456854572744077,0.27456854572744077
StreamingTV_No internet service,-0.27456854572744077,0.27456854572744077
OnlineBackup_No internet service,-0.27456854572744077,0.27456854572744077
StreamingMovies_No internet service,-0.27456854572744077,0.27456854572744077
PaperlessBilling_No,-0.2633645762037162,0.2633645762037162
StreamingTV_Yes,0.2620375848967594,0.2620375848967594
PaymentMethod_Electronic check,0.2388048430146221,0.2388048430146221
MultipleLines_No,-0.21341513156245842,0.21341513156245842
Dependents_Yes,-0.20910265647504775,0.20910265647504775
OnlineSecurity_No,0.19785643033892894,0.19785643033892894
StreamingMovies_No,-0.19065091601462633,0.19065091601462633
StreamingTV_No,-0.17771044361798322,0.17771044361798322
PaymentMethod_Bank transfer (automatic),-0.16409222688490965,0.16409222688490965
TechSupport_No,0.16378471099069428,0.16378471099069428
PaymentMethod_Credit card (automatic),-0.1605656538907347,0.1605656538907347
MultipleLines_Yes,0.13255531709124496,0.13255531709124496
OnlineSecurity_Yes,-0.11352928906013936,0.11352928906013936
gender_Female,-0.1113390262770838,0.1113390262770838
PhoneService_No,-0.10938158997744797,0.10938158997744797
MultipleLines_No phone service,-0.10938158997744797,0.10938158997744797
PaymentMethod_Mailed check,-0.10438836668762311,0.10438836668762311
Partner_No,-0.10301065173245007,0.10301065173245007
Partner_Yes,-0.08723075271619994,0.08723075271619994
PhoneService_Yes,-0.08085981447119271,0.08085981447119271
TechSupport_Yes,-0.07945756971190446,0.07945756971190446
gender_Male,-0.07890237817155761,0.07890237817155761
DeviceProtection_Yes,0.07401646702885153,0.07401646702885153
PaperlessBilling_Yes,0.07312317175507152,0.07312317175507152
Contract_One year,-0.07238514311004118,0.07238514311004118
OnlineBackup_No,0.0684803211864588,0.0684803211864588
SeniorCitizen,0.05714121720191558,0.05714121720191558
Dependents_No,0.018861252026395818,0.018861252026395818
OnlineBackup_Yes,0.015846820092334006,0.015846820092334006
DeviceProtection_No,0.010310674249941868,0.010310674249941868
